id,url,platform,img,url
56,Bergey Jewelry,Custom,https://stargems.com/assets/img/Websites/Bergey.webp,http://www.bergeyjewelry.com/
57,Julie's Jewels & Gifts,Shopify,https://stargems.com/assets/img/Websites/Julies-Jewels-and-Gifts-SC.webp,http://juliesjewelsandgifts.com/
58,Alexander’s of Atlanta,Custom,https://stargems.com/assets/img/Websites/AOA.webp,http://alexandersofatlanta.com/
59,Albrecht Jewelry,Shopify,https://stargems.com/assets/img/Websites/Albrecht-Jewelry.webp,http://www.albrechtjewelry.com/
60,ASBA USA,Custom,https://stargems.com/assets/img/Websites/ASBA.webp,http://www.asbausa.com/
61,Brummitt Jewelry Design Studio,Shopify,https://stargems.com/assets/img/Websites/Brummitt-Jewelry-Studio.webp,http://www.brummittjewelrystudio.com/
62,Brilliant Gem Buttons,Shopify,https://stargems.com/assets/img/Websites/BGB.webp,https://brilliantgembuttons.com/
63,Dublin Village Jewelers,Shopify,https://stargems.com/assets/img/Websites/Dublin-Village-Jewelers.webp,http://www.dublinvillagejewelers.com/
64,Eduardo Accostupa Jewelry Designer,Wordpress,https://stargems.com/assets/img/Websites/EDUA.webp,http://www.eduardoaccostupa.com/
65,Coats Jewelers,Shopify,https://stargems.com/assets/img/Websites/Coats-Jewelers.webp,http://coatsjewelers.com/
66,Humphreys & Sons,Shopify,https://stargems.com/assets/img/Websites/HUMP.webp,https://humphreysandson.com/
67,Clayton Jewelers,Shopify,https://stargems.com/assets/img/Websites/Clayton-jewelers.webp,http://claytonjewelers.net/
68,Famulare Jewelers,Others,https://stargems.com/assets/img/Websites/Famulare-Jewelers.webp,http://www.famularejewelers.com/
69,J. David Jewelry,Shopify,https://stargems.com/assets/img/Websites/J-DAVID-JEWELRY.webp,http://jdavidjewelry.com/
70,Stevens Creations LLC,Custom,https://stargems.com/assets/img/Websites/stevenscreationsllc.webp,http://stevencreationsllc.com/
71,Treasures Old & New,Custom,https://stargems.com/assets/img/Websites/TON.webp,http://treasureson.com/
72,Baraka Gems,Shopify,https://stargems.com/assets/img/Websites/Baraka-Gems.webp,http://barakagems.com/
73,Wright's Jewelry,Shopify,https://stargems.com/assets/img/Websites/Wrights-Jewelry.webp,http://www.wrightsjewelrystore.com/
74,Skyline Gems,Shopify,https://stargems.com/assets/img/Websites/Skyline-G.webp,http://skylinegems.com/
75,Brillante Jeweler,Shopify,https://stargems.com/assets/img/Websites/Brillante-and-Co.webp,http://www.brillantejeweler.com/
76,Wendels Jewelers,Custom,https://stargems.com/assets/img/Websites/wendelsjewelers.webp,http://wendelsjewelers.com/
